mechanism_name,strategy_name,domain_name,n_outcomes,opposition,max_welfare,time,full_time,run_time,succeeded,agreement_utils,welfare,relative_welfare,pdist,ndist,time_limit,n_rounds,nash_welfare,relative_nash_welfare,reserved0,reserved1,reserved,steps,failed
AOr,Atlas3,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,4.1706445552408695,4.170946821570396,3.572049245238304,True,"(0.6117039826105853, 0.6175891405859933)",1.229293123196579,1.0,0.0,0.0,180,18,1.229293123196579,1.0,0.0,0.0,"(0.0, 0.0)",8,False
AOr,AgentK,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,3.718734059482813,3.719130348414183,3.417070146650076,False,"(0.0, 0.0)",0.0,0.0,0.6505692567933414,0.8692514647162795,180,18,1.229293123196579,0.0,0.0,0.0,"(0.0, 0.0)",18,False
AOr,AgentK,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,4.006533604115248,4.006956063210964,3.1502962671220303,False,"(0.0, 0.0)",0.0,0.0,0.6505692567933414,0.8692514647162795,180,18,1.229293123196579,0.0,0.0,0.0,"(0.0, 0.0)",18,False
AOr,AspirationNegotiator,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,0.0053937062621116,0.0056490786373615,0.0043939538300037,True,"(0.6117039826105853, 0.6175891405859933)",1.229293123196579,1.0,0.0,0.0,180,18,1.229293123196579,1.0,0.0,0.0,"(0.0, 0.0)",17,False
AOr,AspirationNegotiator,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,0.0045806840062141,0.0047782212495803,0.0041142962872982,True,"(0.6117039826105853, 0.6175891405859933)",1.229293123196579,1.0,0.0,0.0,180,18,1.229293123196579,1.0,0.0,0.0,"(0.0, 0.0)",17,False
AOr,AspirationNegotiator,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,0.0061674192547798,0.0064070746302604,0.0055981986224651,True,"(0.6117039826105853, 0.6175891405859933)",1.229293123196579,1.0,0.0,0.0,180,18,1.229293123196579,1.0,0.0,0.0,"(0.0, 0.0)",17,False
TAU0,SCSNegotiator,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,0.0023649781942367,0.0027174465358257,0.0017380975186824,True,"(0.6117039826105853, 0.6175891405859933)",1.229293123196579,1.0,0.0,0.0,180,18,1.229293123196579,1.0,0.0,0.0,"(0.0, 0.0)",3,False
TAU0,SCSNegotiator,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,0.0012471750378608,0.0014138519763946,0.0008736662566661,True,"(0.6117039826105853, 0.6175891405859933)",1.229293123196579,1.0,0.0,0.0,180,18,1.229293123196579,1.0,0.0,0.0,"(0.0, 0.0)",3,False
TAU0,SCSNegotiator,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,0.0018724165856838,0.0021191425621509,0.0013268291950225,True,"(0.6117039826105853, 0.6175891405859933)",1.229293123196579,1.0,0.0,0.0,180,18,1.229293123196579,1.0,0.0,0.0,"(0.0, 0.0)",3,False
TAUinf,SCSNegotiator,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,0.0012114010751247,0.001378308981657,0.0008500702679157,True,"(0.6117039826105853, 0.6175891405859933)",1.229293123196579,1.0,0.0,0.0,180,18,1.229293123196579,1.0,0.0,0.0,"(0.0, 0.0)",3,False
TAUinf,SCSNegotiator,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,0.0020109228789806,0.0022526942193508,0.001512061804533,True,"(0.6117039826105853, 0.6175891405859933)",1.229293123196579,1.0,0.0,0.0,180,18,1.229293123196579,1.0,0.0,0.0,"(0.0, 0.0)",3,False
TAUinf,SCSNegotiator,0000009Ultimatum,9,0.5449879471311634,1.229293123196579,0.001380730420351,0.0016272366046905,0.0009370222687721,True,"(0.6117039826105853, 0.6175891405859933)",1.229293123196579,1.0,0.0,0.0,180,18,1.229293123196579,1.0,0.0,0.0,"(0.0, 0.0)",3,False
